ISIN,PARENT ID,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,Return On Asset,Return On Equity,Total Debt to Asset,WACC Cost of Debt,Issuer Credit Rating,Market of Issue,Country of Issue,Sector,Use of Proceeds,Principal Currency,Maturity,Issue Date,Coupon,Amount Issued (USD),Preferred RIC,Issuer
FR0013205069,4295867555,89.06,92.93,90.27,83.41,3,6.38,0.34,0.04,BBB,Domestic,France,Real Estate,Eligible Green Projects,Euro,30/01/2029,30/09/2016,1,500951808,FR0013205069=,Gecina SA
FR0013284254,4295866806,77.42,66.66,86.91,83.2,2.57,5.86,0.18,0.03,BBB+,Domestic,France,Oil and Gas,Clean Transport,Euro,28/02/2029,28/09/2017,1.38,751427712,FR0013284254=,Engie SA
JP357300BN35,4295880403,77.26,76.71,82.04,70.74,3.23,4.3,0.36,0.01,AA-,Domestic,Japan,Gas Utility,Energy Efficiency,Japanese Yen,01/03/2029,01/03/2022,0.26,68203519,JP00729531=,Tokyo Gas Co Ltd
CH0461238914,4295890944,73.86,96.85,74.41,65.56,0.5,6.4,0.03,0.02,BBB,Domestic,Switzerland,Life Insurance,Energy Efficiency,Swiss Franc,06/03/2029,04/12/2019,0.35,151821862,CH46123891=,Swiss Life Holding AG
CH1148728194,5037631860,15.3,7.51,14.3,23.94,5.2,2.84,0.34,0.06,A+,Domestic,Switzerland,Home Builders,Clean Transport,Swiss Franc,17/04/2029,17/02/2022,0.75,101214574,CH114872819=,Zug Estates Holding AG
CH1179184408,4296668953,44.9,32.91,35.72,77.23,3.9,10.11,0.16,0.02,BBB,Domestic,Switzerland,Utility ,Energy Efficiency,Swiss Franc,27/04/2029,27/04/2022,1.13,101214574,CH117918440=,BKW AG
TH0471039501,4295892850,79.95,88.21,79.89,67.95,3.55,-7.75,0.32,0.06,BBB,Domestic,Thailand,Chemicals,Renewable Energy,Thai Baht,20/05/2029,20/05/2022,4.17,20118025,IRPC295A=TS,IRPC PCL
TH0221039504,4295892710,73.4,59.11,96.42,55.23,1.48,7.95,0.6,0.06,BBB,Domestic,Thailand,Transportation ,Clean Transport,Thai Baht,24/05/2029,24/05/2019,3.86,133832976,THBTSG295A=,BTS Group Holdings PCL
JP304751AK76,5037947712,31.26,52.48,18.68,18.32,3.19,12.73,0.44,0.01,A+,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,06/07/2029,08/07/2019,0.61,54562815,JP00133281=,GLP J-REIT
TH3545039705,4298077124,57.37,57.14,60.61,53.53,8.56,20.34,0.53,0.03,A+,Domestic,Thailand,Oil and Gas,Energy Efficiency,Thai Baht,11/07/2029,11/07/2019,3.61,53648068,EA297A=TS,Energy Absolute PCL
JP389320BN75,4295880542,58.64,86.3,60.9,29.41,2.83,6.59,0.45,0.01,AA-,Domestic,Japan,Service ,Green Construction,Japanese Yen,13/07/2029,14/07/2022,0.51,68203519,JP00808801=,Mitsui Fudosan Co Ltd
JP304089AK79,4295880338,29.87,42.49,38.55,6.99,4.6,12.73,0.42,0.01,AA-,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,31/07/2029,31/07/2019,0.57,34101759,JP00248955=,Japan Prime Realty Investment Corp
TH3545039804,4298077124,57.37,57.14,60.61,53.53,8.56,20.34,0.53,0.03,A+,Domestic,Thailand,Oil and Gas,Energy Efficiency,Thai Baht,15/08/2029,15/08/2019,3.58,53533190,THEA298A=,Energy Absolute PCL
NO0011094641,5040945479,66.95,75.73,68.33,56.94,10.5,4.2,0.38,0.06,A+,Domestic,Norway,Service ,Green Construction,Norwegian Krone,10/09/2029,10/09/2021,2,137209165,NO1109464=,Entra ASA
JP304811AK90,5046662606,38.81,65.75,31.63,14.13,2.71,12.73,0.44,0.01,A+,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,20/09/2029,20/09/2019,0.53,20461055,JP00043462=,Nomura Real Estate Master Fund Inc
FR001400A1H6,4295866806,77.42,66.66,86.91,83.2,2.57,5.86,0.18,0.03,BBB+,Domestic,France,Oil and Gas,Energy Efficiency,Euro,27/09/2029,27/09/2022,3.5,651237350,FR001400A1H6=,Engie SA
TH9829039907,4295893275,64.26,45.83,60.49,77.83,5.47,79.78,0.36,0.04,BBB,Domestic,Thailand,Industrials ,Clean Transport,Thai Baht,28/09/2029,28/09/2022,3.91,10643959,STGT299A=TS,Sri Trang Gloves (Thailand) PCL
FR0014005ZP8,4295866806,77.42,66.66,86.91,83.2,2.57,5.86,0.18,0.03,BBB+,Domestic,France,Oil and Gas,Clean Transport,Euro,26/10/2029,26/10/2021,0.38,751427712,FR0014005ZP8=,Engie SA
JP304639AKB9,4295877304,37.28,71.39,25.89,8.19,2.4,12.73,0.42,0.01,BBB,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,22/11/2029,25/11/2019,0.53,40922111,JP00098984=,Daiwa House REIT Investment Corp
JP327640AKB0,4295880513,30.52,17.66,21.96,47.47,0.4,2.6,0.21,0,AA-,Domestic,Japan,Banking,Energy Efficiency,Japanese Yen,26/11/2029,26/11/2019,0.37,68203519,JP00058334=,Gunma Bank Ltd
JP304751AKB2,5037947712,31.26,52.48,18.68,18.32,3.19,12.73,0.44,0.01,A+,Domestic,Japan,Real Estate,Green Construction,Japanese Yen,27/11/2029,27/11/2019,0.55,34101759,JP00143281=,GLP J-REIT
JP341720AKC0,5000057997,42.87,33.72,34.16,65.76,3.63,-21.4,0.55,0.05,A+,Domestic,Japan,Transportation ,Clean Transport,Japanese Yen,12/12/2029,12/12/2019,0.27,68203519,JP00049024=,Seibu Holdings Inc
FR0014007NF1,4295867058,70.73,89.18,76.07,44.19,2.2,11.89,0.44,0.04,A1,Domestic,France,Home Builders,Clean Transport,Euro,19/01/2030,19/01/2022,1,500951808,FR0014007NF1=,Icade SA
NO0011041535,5040945479,66.95,75.73,68.33,56.94,10.5,4.2,0.38,0.06,A+,Domestic,Norway,Service ,Energy Efficiency,Norwegian Krone,01/02/2030,30/06/2021,2.49,98006546,NO1104153=,Entra ASA
JP360540AL24,4295880605,40.92,51.44,41.65,22.09,-2.97,3.59,0.59,0.06,AA-,Domestic,Japan,Utility ,Renewable Energy,Japanese Yen,25/02/2030,27/02/2020,0.31,34101759,JP05179506=,Tohoku Electric Power Co Inc
FR0013322989,4295867555,89.06,92.93,90.27,83.41,3,6.38,0.34,0.04,BBB,Domestic,France,Real Estate,Eligible Green Projects,Euro,14/03/2030,14/03/2018,1.63,500951808,FR0013322989=,Gecina SA
JP304639BL56,4295877304,37.28,71.39,25.89,8.19,2.4,12.73,0.42,0.01,BBB,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,27/05/2030,27/05/2020,0.64,10912563,JP00118984=,Daiwa House REIT Investment Corp
TH648803A601,5038911471,68.24,52.16,88.64,69.04,1.48,7.36,0.42,0.06,A+,Domestic,Thailand,Utility ,Energy Efficiency,Thai Baht,10/06/2030,10/06/2022,3.56,26490066,GPSC306A=TS,Global Power Synergy PCL
CH1130818839,4295890800,40.82,34.46,32.18,53.02,0.8,6.34,0.03,0.02,BBB,Domestic,Switzerland,Insurance,Green Construction,Swiss Franc,27/06/2030,27/09/2021,0.13,202429149,CH113081883=,Baloise Holding AG
JP341475CL70,4295879777,81.56,88.86,78.89,80.24,4.76,5.63,0.19,0.01,AA-,Domestic,Japan,Electronics,Capital expenditure,Japanese Yen,16/07/2030,16/07/2020,0.45,136407038,JP00226724=,Seiko Epson Corp
TH648803A809,5038911471,68.24,52.16,88.64,69.04,1.48,7.36,0.42,0.06,A+,Domestic,Thailand,Utility ,Energy Efficiency,Thai Baht,07/08/2030,07/08/2020,2.94,26766595,THGPSC308A=,Global Power Synergy PCL
JP304811AL81,5046662606,38.81,65.75,31.63,14.13,2.71,12.73,0.44,0.01,A+,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,14/08/2030,14/08/2020,0.54,47742463,JP00063462=,Nomura Real Estate Master Fund Inc
JP362700AL91,4295878014,41.01,68.18,24.66,25.49,2.73,8.62,0.24,0,BBB,Domestic,Japan,Building Products,Energy Efficiency,Japanese Yen,06/09/2030,08/09/2020,0.48,68203519,JP00071860=,Toda Corp
JP360540AL99,4295880605,40.92,51.44,41.65,22.09,-2.97,3.59,0.59,0.06,AA-,Domestic,Japan,Utility ,Renewable Energy,Japanese Yen,25/09/2030,16/09/2020,0.32,68203519,JP05249506=,Tohoku Electric Power Co Inc
FR0013455813,4295866806,77.42,66.66,86.91,83.2,2.57,5.86,0.18,0.03,BBB+,Domestic,France,Oil and Gas,Clean Transport,Euro,24/10/2030,24/10/2019,0.5,901713255,FR0013455813=,Engie SA
TH063703AB01,4295893366,57.37,56.21,58.59,57.78,5.13,10.43,0.39,0.06,BBB,Domestic,Thailand,Utility ,Clean Transport,Thai Baht,04/11/2030,04/11/2020,2.61,40149892,THRATCH30NA=,Ratch Group PCL
TH022103AB03,4295892710,73.4,59.11,96.42,55.23,1.48,7.95,0.6,0.06,BBB,Domestic,Thailand,Transportation ,Clean Transport,Thai Baht,06/11/2030,06/11/2020,3.41,16059957,THBTSG30NA=,BTS Group Holdings PCL
JP304089ALB5,4295880338,29.87,42.49,38.55,6.99,4.6,12.73,0.42,0.01,AA-,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,26/11/2030,26/11/2020,0.51,40922111,JP00258955=,Japan Prime Realty Investment Corp
JP357300ALC0,4295880403,77.26,76.71,82.04,70.74,3.23,4.3,0.36,0.01,AA-,Domestic,Japan,Gas Utility,Renewable Energy,Japanese Yen,10/12/2030,10/12/2020,0.21,68203519,JP00669531=,Tokyo Gas Co Ltd
FR0014001IM0,4295867058,70.73,89.18,76.07,44.19,2.2,11.89,0.44,0.04,A1,Domestic,France,Home Builders,Clean Transport,Euro,18/01/2031,18/01/2021,0.63,601142170,FR0014001IM0=,Icade SA
US78392BAC19,4295881619,80.6,64.32,87.45,88.84,6.57,9.53,0.2,0.06,AA-,Foreign,United States,Electronics,Aquatic Biodiversity,US Dollar,19/01/2031,19/01/2021,2.38,1000000000,78392BAC1=,SK Hynix Inc
USY8085FBD16,4295881619,80.6,64.32,87.45,88.84,6.57,9.53,0.2,0.06,AA-,Eurobond,European Union,Electronics,Aquatic Biodiversity,US Dollar,19/01/2031,19/01/2021,2.38,1000000000,KR229053833=,SK Hynix Inc
JP355120AM13,4295880748,49.77,53.5,45.22,49.35,2.8,2.74,0.58,0.01,AA-,Domestic,Japan,Utility ,Renewable Energy,Japanese Yen,20/01/2031,21/01/2021,0.35,136407038,JP00729513=,Electric Power Development Co Ltd
KR6034734B20,5000049504,70.13,62.23,68.64,84.36,3.07,1.11,0.38,0.05,A+,Domestic,South Korea,Information Technology,Renewable Energy,South Korean Won,24/02/2031,24/02/2021,2.03,57453103,KR6034734B2=,SK Inc
JP324701AM40,4296353329,48.78,69.85,30.85,52,3,-4.7,0.36,0.01,BBB,Domestic,Japan,Railroads,Clean Transport,Japanese Yen,15/04/2031,15/04/2021,0.27,136407038,JP00089142=,Kyushu Railway Co
JP304639AM49,4295877304,37.28,71.39,25.89,8.19,2.4,12.73,0.42,0.01,BBB,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,15/04/2031,15/04/2021,0.5,27281407,JP00148984=,Daiwa House REIT Investment Corp
JP324640BM68,4295880665,41.13,65.97,14.82,33.08,-1.5,4.97,0.69,0.05,AA-,Domestic,Japan,Utility ,Renewable Energy,Japanese Yen,23/05/2031,10/06/2021,0.31,102305278,JP04949508=,Kyushu Electric Power Co Inc
JP304755AM54,5038042133,30.99,45.01,18.36,26.5,3.57,12.73,0.38,0.01,A+,Domestic,Japan,Real Estate,Clean Transport,Japanese Yen,30/05/2031,31/05/2021,0.47,47742463,JP00103283=,Nippon Prologis REIT Inc
NO0011013716,4295885572,90.27,97.92,89.68,82.87,7.4,13.58,0.2,0.04,BB-,Domestic,Norway,Conglomerate,Circular Economy,Norwegian Krone,04/06/2031,04/06/2021,2.44,147009820,NO1101371=,Orkla ASA
JP303971AM62,4295878450,37.69,63.28,28.93,16.06,3.06,4.81,0.44,0.01,A-,Domestic,Japan,Real Estate,Capital expenditure,Japanese Yen,25/06/2031,25/06/2021,0.45,57972991,JP01018953=,Japan Metropolitan Fund Investment Corp
JP304088AM78,4295878495,37.67,68.98,25.59,12.49,4.1,12.73,0.43,0.01,AA-,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,30/06/2031,01/07/2021,0.45,20461055,JP00178954=,Orix JREIT Inc
JP352660AM73,4295880504,31.96,36.9,26.56,30.56,-0.7,12.73,0.47,0.01,AA-,Domestic,Japan,Utility ,Renewable Energy,Japanese Yen,25/07/2031,15/07/2021,0.3,68203519,JP05459502=,Chubu Electric Power Co Inc
TH741103B907,4295892862,37.95,38.67,44.65,28,3.77,10.07,0.44,0.07,BBB,Domestic,Thailand,Utility ,Eligible Green Projects,Thai Baht,15/09/2031,15/09/2021,3.31,107066381,THBCPG319A=,BCPG PCL
FR0013447232,4295867087,77.09,96.73,44.53,84.74,2.2,4.56,0.43,0.04,A1,Domestic,France,Home Builders,Other Housing,Euro,17/09/2031,17/09/2019,1.13,500951808,FR0013447232=,Covivio SA
NO0011097339,4295885416,56.97,49.59,68.71,44.81,9.15,8.66,0.26,0.06,BB-,Domestic,Norway,Food Processors,Renewable Energy,Norwegian Krone,17/09/2031,17/09/2021,3.35,49003273,NO1109733=,Leroy Seafood Group ASA
JP329446AMA8,4295880393,76.72,82.06,74.76,72.38,10.17,-4.35,0.23,0.01,AA-,Domestic,Japan,Oil and Gas,Renewable Energy,Japanese Yen,15/10/2031,15/10/2021,0.25,68203519,JP00031605=,Inpex Corp
JP304554AMA8,4295875904,28.73,41.69,21.66,20.25,4.1,12.73,0.43,0.01,BBB,Domestic,Japan,Real Estate,Green Construction,Japanese Yen,28/10/2031,28/10/2021,0.4,23871231,JP00228960=,United Urban Investment Corp
JP348680AMC5,4295876100,51.02,65.82,31.56,58.12,8.65,21.22,0.09,0.01,BBB,Domestic,Japan,Building Products,Energy Efficiency,Japanese Yen,02/12/2031,02/12/2021,0.46,75023871,JP00011878=,Daito Trust Construction Co Ltd
JP315160BMC5,4295880552,14.62,19.88,9.24,16.49,8.6,10.9,0.2,0,AA-,Domestic,Japan,Oil and Gas,Clean Transport,Japanese Yen,12/12/2031,14/12/2021,0.27,34101759,JP00028088=,Iwatani Corp
JP384540AMC6,4295880412,26.55,36.89,20.92,16.29,-1.1,2.07,0.62,0.05,AA-,Domestic,Japan,Utility ,Equipment Upgrade,Japanese Yen,25/12/2031,09/12/2021,0.3,68203519,JP03479505=,Hokuriku Electric Power Co
JP385020AMC8,4295877589,44.35,70.98,31.62,15.61,-0.6,13.2,0.7,0.01,BBB,Domestic,Japan,Utility ,Energy Efficiency,Japanese Yen,25/12/2031,02/12/2021,0.33,34101759,JP03729509=,Hokkaido Electric Power Company Incorporated
JP355120AN12,4295880748,49.77,53.5,45.22,49.35,2.8,2.74,0.58,0.01,AA-,Domestic,Japan,Utility ,Renewable Energy,Japanese Yen,20/01/2032,20/01/2022,0.31,68203519,JP00769513=,Electric Power Development Co Ltd
JP525003DH17,4296004552,75.18,95.1,72.2,43.59,1.7,4.28,0.19,0.03,BBB,Foreign,Japan,Utility ,Alternative Energy,Japanese Yen,26/01/2032,26/01/2017,1.57,43650252,JP10070837=,Electricite de France SA
KR6010953C23,4296994350,82.57,75.45,87.87,83.56,13.71,12.73,0.31,0.05,A+,Domestic,South Korea,Oil and Gas,Pollution Control,South Korean Won,17/02/2032,17/02/2022,3.18,43089827,KR6010953C2=,S-Oil Corp
JP357300AN36,4295880403,77.26,76.71,82.04,70.74,3.23,4.3,0.36,0.01,AA-,Domestic,Japan,Gas Utility,Energy Efficiency,Japanese Yen,01/03/2032,01/03/2022,0.36,68203519,JP00719531=,Tokyo Gas Co Ltd
FR0013504693,4295866806,77.42,66.66,86.91,83.2,2.57,5.86,0.18,0.03,BBB+,Domestic,France,Oil and Gas,Clean Transport,Euro,30/03/2032,27/03/2020,2.13,751427712,FR0013504693=,Engie SA
JP322860BN49,4295880528,58.2,78.88,42.39,43.6,0.37,6.8,0.56,0.01,AA-,Domestic,Japan,Utility ,Clean Transport,Japanese Yen,23/04/2032,14/04/2022,0.57,170508798,JP05489503=,Kansai Electric Power Co Inc
JP340460AN53,5000000997,61.7,73.11,54.35,61.33,4.9,-6.04,0.37,0.01,A+,Domestic,Japan,Conglomerate,Clean Transport,Japanese Yen,24/05/2032,24/05/2022,0.57,136407038,JP00608053=,Sumitomo Corp
JP324640BN59,4295880665,41.13,65.97,14.82,33.08,-1.5,4.97,0.69,0.05,AA-,Domestic,Japan,Utility ,Climate Change Adaptation,Japanese Yen,25/05/2032,24/05/2022,0.64,170508798,JP05079508=,Kyushu Electric Power Co Inc
JP352660BN55,4295880504,31.96,36.9,26.56,30.56,-0.6,7.5,0.47,0.01,AA-,Domestic,Japan,Utility ,Renewable Energy,Japanese Yen,25/05/2032,26/05/2022,0.62,136407038,JP05589502=,Chubu Electric Power Co Inc
JP318040AN66,4295880578,49.1,75.02,32.97,36.66,2.25,7.99,0.28,0.01,AA-,Domestic,Japan,Gas Utility,Energy Efficiency,Japanese Yen,02/06/2032,02/06/2022,0.37,68203519,JP00449532=,Osaka Gas Co Ltd
JP313480BN63,4295877299,71.25,93.02,73.23,42.53,3.17,4.35,0.27,0.01,BBB,Domestic,Japan,Machinery,Climate Change Adaptation,Japanese Yen,04/06/2032,06/06/2022,0.62,61383167,JP00507013=,IHI Corp
JP338603BN62,4295880726,65.57,73.19,60.81,62.44,3.28,-1.3,0.35,0.01,AA-,Domestic,Japan,Metals/Mining,Clean Transport,Japanese Yen,09/06/2032,09/06/2022,0.58,34101759,JP00375411=,JFE Holdings Inc
TH648803C607,5038911471,68.24,52.16,88.64,69.04,1.48,7.36,0.42,0.06,A+,Domestic,Thailand,Utility ,Energy Efficiency,Thai Baht,10/06/2032,10/06/2022,3.75,79470198,GPSC326A=TS,Global Power Synergy PCL
JP360540BN62,4295880605,40.92,51.44,41.65,22.09,-2.97,3.59,0.59,0.06,AA-,Domestic,Japan,Utility ,Renewable Energy,Japanese Yen,25/06/2032,02/06/2022,0.63,68203519,JP05469506=,Tohoku Electric Power Co Inc
FR0013266368,4295867555,89.06,92.93,90.27,83.41,3,6.38,0.34,0.04,BBB,Domestic,France,Real Estate,Eligible Green Projects,Euro,30/06/2032,30/06/2017,2,500951808,FR0013266368=,Gecina SA
JP314250BN77,4295880409,75.73,85.42,61.6,86.69,6.3,3,0.3,0.01,AA-,Domestic,Japan,Oil and Gas,Climate Change Adaptation,Japanese Yen,14/07/2032,14/07/2022,0.88,68203519,JP00165019=,Idemitsu Kosan Co Ltd
JP322420AN76,4295877335,71.09,72.47,75.7,61.58,2,-4.2,0.25,0.01,BBB,Domestic,Japan,Vehicle Parts,Clean Transport,Japanese Yen,14/07/2032,14/07/2022,0.79,61383167,JP00597012=,Kawasaki Heavy Industries Ltd
JP389320CN74,4295880542,58.64,86.3,60.9,29.41,2.83,6.59,0.45,0.01,AA-,Domestic,Japan,Service ,Green Construction,Japanese Yen,14/07/2032,14/07/2022,0.69,204610557,JP00818801=,Mitsui Fudosan Co Ltd
JP385020AN77,4295877589,44.35,70.98,31.62,15.61,-0.6,13.2,0.7,0.01,BBB,Domestic,Japan,Utility ,Energy Efficiency,Japanese Yen,23/07/2032,14/07/2022,0.79,34101759,JP03769509=,Hokkaido Electric Power Company Incorporated
JP318040AN90,4295880578,49.1,75.02,32.97,36.66,4.9,12.73,0.28,0.01,AA-,Domestic,Japan,Gas Utility,Energy Efficiency,Japanese Yen,01/09/2032,01/09/2022,0.53,184149502,JP00479532=,Osaka Gas Co Ltd
JP375290BN96,5000022643,54.34,25.59,42.77,77.4,0.1,3.4,0.11,0.01,A+,Domestic,Japan,Transportation ,Clean Transport,Japanese Yen,01/09/2032,01/09/2022,0.47,102305278,JP00026178=,Japan Post Holdings Co Ltd
TH982903C906,4295893275,64.26,45.83,60.49,77.83,5.47,79.78,0.36,0.04,BBB,Domestic,Thailand,Industrials ,Clean Transport,Thai Baht,28/09/2032,28/09/2022,4.25,14635444,STGT329A=TS,Sri Trang Gloves (Thailand) PCL
XS2327420977,5057957727,73.45,58.73,83.55,85.48,2.56,23.4,0.29,0.03,A+,Eurobond,European Union,Utility ,Clean Transport,Euro,01/10/2032,01/04/2021,0.6,751427712,DE232742097=,E ON SE
FR0014001LV5,4295867087,77.09,96.73,44.53,84.74,5.3,12.73,0.43,0.04,A1,Domestic,France,Home Builders,Energy Efficiency,Euro,20/01/2033,20/01/2021,0.88,100190361,FR0014001LV5=,Covivio SA
FR0014007VP3,4295867555,89.06,92.93,90.27,83.41,3,6.38,0.34,0.04,BBB,Domestic,France,Real Estate,Green Construction,Euro,25/01/2033,25/01/2022,0.88,500951808,FR0014007VP3=,Gecina SA
CH1112455766,5000059251,68.95,86.9,65.54,62.04,6.8,16.66,0.34,0.02,A+,Domestic,Switzerland,Telecommunications,Clean Transport,Swiss Franc,18/05/2033,18/05/2021,0.25,101214574,CH111245576=,Swisscom AG
TH741103D903,4295892862,37.95,38.67,44.65,28,3.77,10.07,0.44,0.07,BBB,Domestic,Thailand,Utility ,Eligible Green Projects,Thai Baht,15/09/2033,15/09/2021,3.61,107066381,THBCPG339A=,BCPG PCL
XS2263535853,5040692244,40.63,49.31,29.77,40.69,2.4,12.73,0.24,0.06,A+,Eurobond,European Union,Real Estate,Energy Efficiency,British Pound,27/11/2033,27/11/2020,1.5,287776409,GB226353585=,Tritax Big Box Reit PLC
JP304088AL79,4295878495,37.67,68.98,25.59,12.49,4.1,12.73,0.43,0.01,AA-,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,06/07/2035,07/07/2020,0.89,13640703,JP00158954=,Orix JREIT Inc
TH648803F808,5038911471,68.24,52.16,88.64,69.04,1.48,7.36,0.42,0.06,A+,Domestic,Thailand,Utility ,Energy Efficiency,Thai Baht,07/08/2035,07/08/2020,3.24,66916488,THGPSC358A=,Global Power Synergy PCL
TH063703FB06,4295893366,57.37,56.21,58.59,57.78,5.13,10.43,0.39,0.06,BBB,Domestic,Thailand,Utility ,Clean Transport,Thai Baht,04/11/2035,04/11/2020,2.94,107066381,THRATCH35NA=,Ratch Group PCL
JP304755BM53,5038042133,30.99,45.01,18.36,26.5,3.57,12.73,0.38,0.01,A+,Domestic,Japan,Real Estate,Clean Transport,Japanese Yen,30/05/2036,31/05/2021,0.73,34101759,JP00113283=,Nippon Prologis REIT Inc
FR00140049A8,4295867555,89.06,92.93,90.27,83.41,3,6.38,0.34,0.04,BBB,Domestic,France,Real Estate,Eligible Green Projects,Euro,30/06/2036,30/06/2021,0.88,500951808,FR00140049A8=,Gecina SA
FR0014005ZQ6,4295866806,77.42,66.66,86.91,83.2,2.57,5.86,0.18,0.03,BBB+,Domestic,France,Oil and Gas,Clean Transport,Euro,26/10/2036,26/10/2021,1,751427712,FR0014005ZQ6=,Engie SA
BE0002830116,4296432619,68.76,68.49,75.69,55.06,5.22,19.59,0.35,0.03,BBB,Domestic,Belgium,Telecommunications,Eligible Green Projects,Euro,17/11/2036,17/11/2021,0.75,751427712,BE0002830116=,Proximus NV
JP304089BMC9,4295880338,29.87,42.49,38.55,6.99,4.6,12.73,0.42,0.01,AA-,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,05/12/2036,07/12/2021,0.67,6820351,JP00288955=,Japan Prime Realty Investment Corp
TH648803H606,5038911471,68.24,52.16,88.64,69.04,1.48,7.36,0.42,0.06,A+,Domestic,Thailand,Utility ,Energy Efficiency,Thai Baht,10/06/2037,10/06/2022,4.4,107066381,THGPSC376A=,Global Power Synergy PCL
CH1196217017,4295890856,40.66,46.2,31.36,43.34,1.9,4.61,0.04,0.02,BBB,Domestic,Switzerland,Utility ,Green Construction,Swiss Franc,15/07/2037,15/07/2022,2.63,101214574,CH119621701=,Romande Energie Holding SA
FR0013428513,4295866806,77.42,66.66,86.91,83.2,2.57,5.86,0.18,0.03,BBB+,Domestic,France,Oil and Gas,Clean Transport,Euro,21/06/2039,21/06/2019,1.38,751427712,FR0013428513=,Engie SA
JP304755AL48,5038042133,30.99,45.01,18.36,26.5,3.57,12.73,0.38,0.01,A+,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,17/04/2040,17/04/2020,0.9,34101759,JP00083283=,Nippon Prologis REIT Inc
JP304639CL55,4295877304,37.28,71.39,25.89,8.19,2.4,12.73,0.42,0.01,BBB,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,25/05/2040,27/05/2020,1,6820351,JP00128984=,Daiwa House REIT Investment Corp
SE0016274294,4295866329,38.9,54.41,42.56,27.66,0.8,12.73,0.19,0.04,A+,Foreign,Sweden,Banking,Energy Efficiency,Swedish Krona,16/12/2041,16/12/2021,3.71,13848369,SE0016274294=,Alandsbanken Abp
US62582PAA84,4295868986,84.45,94.1,81.79,84.34,0.65,4.01,0.02,0.03,BBB,Foreign,United States,Financial ,Clean Transport,US Dollar,23/05/2042,23/05/2022,5.88,1250000000,62582PAA8=,Muenchener Rueckversicherungs Gesellschaft in Muenchen AG
USD5558XAA66,4295868986,84.45,94.1,81.79,84.34,0.65,4.01,0.02,0.03,BBB,Eurobond,European Union,Financial ,Clean Transport,US Dollar,23/05/2042,23/05/2022,5.88,1250000000,AU248528117=,Muenchener Rueckversicherungs Gesellschaft in Muenchen AG
XS2381261424,4295868986,84.45,94.1,81.79,84.34,0.65,4.01,0.02,0.03,BBB,Eurobond,European Union,Financial ,Clean Transport,Euro,26/05/2042,02/09/2021,1,1001903616,DE238126142=,Muenchener Rueckversicherungs Gesellschaft in Muenchen AG
JP375290CN95,5000022643,54.34,25.59,42.77,77.4,0.1,3.4,0.11,0.01,A+,Domestic,Japan,Transportation ,Clean Transport,Japanese Yen,01/09/2042,01/09/2022,0.98,34101759,JP00036178=,Japan Post Holdings Co Ltd
FR0013463775,4296088598,74.97,91.22,77.73,66.33,0.5,6.5,0.06,0,BBB,Domestic,France,Life Insurance,Clean Transport,Euro,27/07/2050,27/11/2019,2,751427712,FR0013463775=,CNP Assurances SA
JP304755BL47,5038042133,30.99,45.01,18.36,26.5,3.57,12.73,0.38,0.01,A+,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,15/04/2050,17/04/2020,1,34101759,JP00093283=,Nippon Prologis REIT Inc
US02361DAX84,4295903332,25.1,9.37,47.74,22.4,2.3,12.73,0.38,0,BBB,Global,United States,Utility ,Climate Change Adaptation,US Dollar,15/06/2051,29/06/2021,2.9,350000000,02361DAX8=,Ameren Illinois Co
NZCEND0060L9,4295885081,54.09,51.01,50.7,63.71,4.89,6.74,0.21,0.05,AA-,Domestic,New Zealand,Utility ,Renewable Energy,New Zealand Dollar,19/11/2051,19/11/2021,4.33,133604897,NZCEN1151=,Contact Energy Ltd
JP356680AN38,4295877493,34.07,43.86,27.77,32.58,2.07,-5.62,0.55,0.01,BBB,Domestic,Japan,Railroads,Clean Transport,Japanese Yen,09/03/2057,09/03/2022,1.09,136407038,JP00859022=,Central Japan Railway Co
JP356680AN53,4295877493,34.07,43.86,27.77,32.58,2.07,-5.62,0.55,0.01,BBB,Domestic,Japan,Railroads,Clean Transport,Japanese Yen,25/05/2057,17/05/2022,1.24,68203519,JP00869022=,Central Japan Railway Co
JP358260BK34,4295878581,56.51,82.86,54.39,33.38,3.36,10.59,0.58,0.01,AA-,Domestic,Japan,Service ,Energy Efficiency,Japanese Yen,15/03/2059,15/03/2019,2.15,341017596,JP02018804=,Tokyo Tatemono Co Ltd
